LOCATION,LAT,LONG,POPULATION
ARGENTINA/BUENOS AIRES,-36.660032,-60.66261,15625084.0
ARGENTINA/CABA,-34.607237,-58.439814,2890151.0
ARGENTINA/CATAMARCA,-27.167167,-67.108409,367828.0
ARGENTINA/CHACO,-26.853952000000003,-60.56055799999999,1055259.0
ARGENTINA/CHUBUT,-43.910641,-68.701166,509108.0
ARGENTINA/CORDOBA,-32.352571000000005,-63.636729,3308876.0
ARGENTINA/CORRIENTES,-28.989386,-58.01173000000001,992595.0
ARGENTINA/ENTRE RIOS,-32.352571000000005,-59.15430799999999,1235994.0
ARGENTINA/FORMOSA,-24.996496,-59.63770600000001,530162.0
ARGENTINA/JUJUY,-22.848577,-66.119093,673307.0
ARGENTINA/LA PAMPA,-37.187001,-65.174815,318951.0
ARGENTINA/LA RIOJA,-29.869689,-66.844737,333642.0
ARGENTINA/MENDOZA,-34.624604,-68.646495,1738929.0
ARGENTINA/MISIONES,-27.036593,-54.593774,1101593.0
ARGENTINA/NEUQUEN,-38.6087,-69.657237,551266.0
ARGENTINA/RIO NEGRO,-40.606014,-67.108409,638645.0
ARGENTINA/SALTA,-25.009185,-64.700826,1214441.0
ARGENTINA/SAN JUAN,-31.006317,-68.558604,681055.0
ARGENTINA/SAN LUIS,-33.898216999999995,-65.96583100000001,432310.0
ARGENTINA/SANTA CRUZ,-48.806288,-69.78864200000001,273964.0
ARGENTINA/SANTA FE,-31.302661,-61.250071,3194537.0
ARGENTINA/SANTIAGO DEL ESTERO,-27.868685,-63.241222,874006.0
ARGENTINA/TIERRA DEL FUEGO,-54.336053,-67.679698,127205.0
ARGENTINA/TUCUMAN,-27.127004,-65.306736,1448188.0
ARGENTINA/SANTA FE/9 DE JULIO/ESTEBAN RAMS,-29.771474626950198,-61.489297763401794,
ARGENTINA/SANTA FE/9 DE JULIO/GATO COLORADO,-28.022145147051898,-61.186899540089705,
ARGENTINA/SANTA FE/9 DE JULIO/LOGRONO,-29.503038721403303,-61.6962208615889,
ARGENTINA/SANTA FE/9 DE JULIO/MONTEFIORE,-29.6667435112333,-61.865891856130105,
ARGENTINA/SANTA FE/9 DE JULIO/POZO BORRADO,-28.9375357968403,-61.707201036904706,
ARGENTINA/SANTA FE/9 DE JULIO/SANTA MARGARITA,-28.3124994374905,-61.548930118746206,
ARGENTINA/SANTA FE/9 DE JULIO/TOSTADO,-29.2300116684556,-61.7708203728542,
ARGENTINA/SANTA FE/9 DE JULIO/VILLA MINETTI,-28.6228314381191,-61.62674191677571,
ARGENTINA/SANTA FE/BELGRANO/ARMSTRONG,-32.7852855625095,-61.603353964723205,
ARGENTINA/SANTA FE/BELGRANO/BOUQUET,-32.4235739346083,-61.8895548022825,
ARGENTINA/SANTA FE/BELGRANO/LAS PAREJAS,-32.6816726148248,-61.520022187573296,
ARGENTINA/SANTA FE/BELGRANO/LAS ROSAS,-32.475029685958496,-61.5765739969107,
ARGENTINA/SANTA FE/BELGRANO/MONTES DE OCA,-32.5663799838196,-61.768240383382995,
ARGENTINA/SANTA FE/BELGRANO/TORTUGAS,-32.7474684149875,-61.82115874732511,
ARGENTINA/SANTA FE/CASEROS/AREQUITO,-33.1464172008374,-61.471537397451705,
ARGENTINA/SANTA FE/CASEROS/ARTEAGA,-33.0900301131916,-61.7907370618081,
ARGENTINA/SANTA FE/CASEROS/BERABEVU,-33.3387326622212,-61.8610842540366,
ARGENTINA/SANTA FE/CASEROS/BERAVEBU,-33.3387326622212,-61.8610842540366,
ARGENTINA/SANTA FE/CASEROS/BIGAND,-33.373111037091896,-61.18548433041099,
ARGENTINA/SANTA FE/CASEROS/CASILDA,-33.0456271703707,-61.163331477170296,
ARGENTINA/SANTA FE/CASEROS/CHABAS,-33.2464023424107,-61.3578543607156,
ARGENTINA/SANTA FE/CASEROS/CHANAR LADEADO,-33.323105972392895,-62.0388123936781,
ARGENTINA/SANTA FE/CASEROS/GODEKEN,-33.401245606272,-61.84290156998,
ARGENTINA/SANTA FE/CASEROS/LOS MOLINOS,-33.102202889565504,-61.326592474224604,
ARGENTINA/SANTA FE/CASEROS/LOS QUIRQUINCHOS,-33.3772054975204,-61.7111093901044,
